Straat,Coordinaten
"Crisnéestraat,""[50.72688726093004, 5.422232658452885]"""
"Dorpsstraat,""[50.72677196460762, 5.425551555728543]"""
"Herstapperveld,""[50.72683013493322, 5.4290379238460575]"""
"Hoeise Kassei,""[50.729760, 5.420867]"""
"Kerkstraat,""[50.73052193468449, 5.4289303136984834]"""
"Villers-l'Evêque straat,""[50.72546988109945, 5.426035258704782]"""
